City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Tabory,RU,2022-11-08 23:10:29,58.5198,64.5495,24.46,96,68,6.6
283,Tonj,SS,2022-11-08 23:10:30,7.2737,28.6822,72.18,78,100,1.61
284,Lakatoro,VU,2022-11-08 23:10:30,-16.0999,167.4164,84.0,71,14,6.78
285,Awjilah,LY,2022-11-08 23:10:31,29.1081,21.2869,67.24,67,93,7.7
286,Upata,VE,2022-11-08 23:10:31,8.0086,-62.3989,77.2,95,88,3.22
287,Sirsaganj,IN,2022-11-08 23:10:32,27.05,78.7,69.71,69,34,5.23
288,Wichian Buri,TH,2022-11-08 23:10:32,15.6578,101.106,68.23,84,48,3.29
289,Gat,IL,2022-11-08 23:07:02,31.61,34.7642,65.39,100,28,2.73
290,Hami,CN,2022-11-08 23:10:33,42.8,93.45,42.93,38,37,1.77
291,Makasar,ID,2022-11-08 23:10:10,-5.14,119.4221,77.05,94,20,2.3
292,Wittlich,DE,2022-11-08 23:10:33,49.9833,6.8833,59.22,84,20,10.36
